
# --------------------------------------------------------------------------------------------------------
# Contents:
# Dutch soil profiles, BOFEK clustering and hydraulic properties.
#
# Source:
# Soil map of the Netherlands: https://service.pdok.nl/bzk/bro-bodemkaart/atom/bro-bodemkaart.xml
# BOFEK clustering, Staringreeks: https://www.wur.nl/nl/show/bodemfysische-eenhedenkaart-bofek2020.htm
#
# Date:
# 2025-04-17
# --------------------------------------------------------------------------------------------------------

soil_id,soil_unit,soil_name,soil_classification,soil_landuse,bofek_cluster,bofek_dominant,bofek_name,bofek_area,layer_number,layer_faohorizon,layer_ztop,layer_zbot,layer_staringclass,layer_staringclassname,layer_staringdescription,layer_staringlabel,layer_orgmat,layer_pclay,layer_psilt,layer_bdens,layer_ores,layer_osat,layer_alfa,layer_npar,layer_lexp,layer_ksatfit
9013010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3009,0,Zwak lemige zandgronden I,1240.635311,4,Cu,0.7,1.2,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.5,3,9,1.655,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9023010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,bos,3009,0,Zwak lemige zandgronden I,6011.084394,1,Ah,0.0,0.12,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,4.0,4,8,1.428,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
9023010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,bos,3009,0,Zwak lemige zandgronden I,6011.084394,2,Bw,0.12,0.35,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,1.9,4,8,1.588,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9023010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,bos,3009,0,Zwak lemige zandgronden I,6011.084394,3,BCw,0.35,0.7,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.8,3,9,1.64,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9023010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,bos,3009,0,Zwak lemige zandgronden I,6011.084394,4,Cu,0.7,1.2,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.5,3,9,1.655,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
3011,Y21g,Holtpodzolgronden; leemarm en zwak lemig fijn zand,,bos,3009,0,Zwak lemige zandgronden I,2259.874786,1,Ah,0.0,0.12,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,4.0,4,8,1.428,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
3011,Y21g,Holtpodzolgronden; leemarm en zwak lemig fijn zand,,bos,3009,0,Zwak lemige zandgronden I,2259.874786,2,Bw,0.12,0.35,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,1.9,4,8,1.588,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
3011,Y21g,Holtpodzolgronden; leemarm en zwak lemig fijn zand,,bos,3009,0,Zwak lemige zandgronden I,2259.874786,3,BCw,0.35,0.7,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.8,3,9,1.64,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
3011,Y21g,Holtpodzolgronden; leemarm en zwak lemig fijn zand,,bos,3009,0,Zwak lemige zandgronden I,2259.874786,4,Cu1,0.7,1.0,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.5,3,9,1.655,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
3011,Y21g,Holtpodzolgronden; leemarm en zwak lemig fijn zand,,bos,3009,0,Zwak lemige zandgronden I,2259.874786,5,Cu2,1.0,1.2,205,O05,grof zand,grof zand,0.5,3,9,1.455,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
