CLUSTER_BOFEK,CLUSTER_DOMINANT,SOILPROFILE_INDEX,SOILPROFILE_CODE,AREA,SOIL_GROUP,LAYER,LAYER_ZBOTTOM,LAYER_STARINGCLASS,STARING_NAME,ORES,OSAT,ALFA,NPAR,KSATFIT,LEXP
5001,1,22010,KX,6199.980197,5,2,40,24,O06,0.01,0.33343415,0.01595936,1.28870487,32.8338987,-1.00974832
5001,1,22010,KX,6199.980197,5,3,120,24,O06,0.01,0.33343415,0.01595936,1.28870487,32.8338987,-1.00974832
5002,1,22020,KK,423.2157417,5,1,25,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
5002,1,22020,KK,423.2157417,5,2,45,31,O13,0.01,0.573268,0.02785405,1.07995207,9.68929074,-6.09131057
5002,1,22020,KK,423.2157417,5,3,120,31,O13,0.01,0.573268,0.02785405,1.07995207,9.68929074,-6.09131057
5003,1,22011,KT,881.3751246,5,1,15,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
5003,1,22011,KT,881.3751246,5,2,40,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
5003,1,22011,KT,881.3751246,5,3,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
5004,0,18010,pLn5,3349.171982,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5004,0,18010,pLn5,3349.171982,5,2,90,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,0,18010,pLn5,3349.171982,5,3,120,21,O03,0.01,0.33981025,0.01724264,1.70339467,12.36681012,0.0001
5004,0,18021,Ln5g,561.1487041,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5004,0,18021,Ln5g,561.1487041,5,2,70,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,0,18021,Ln5g,561.1487041,5,3,90,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,0,18021,Ln5g,561.1487041,5,4,120,23,O05,0.01,0.3367005,0.03030449,2.88750186,17.41850374,0.07360004
5004,0,18030,Ld5g,1304.422439,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5004,0,18030,Ld5g,1304.422439,5,2,90,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,0,18030,Ld5g,1304.422439,5,3,120,23,O05,0.01,0.3367005,0.03030449,2.88750186,17.41850374,0.07360004
5004,0,18031,Ld5,2172.315908,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5004,0,18031,Ld5,2172.315908,5,2,70,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,0,18031,Ld5,2172.315908,5,3,120,21,O03,0.01,0.33981025,0.01724264,1.70339467,12.36681012,0.0001
5004,1,18020,Ln5,3385.492973,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5004,1,18020,Ln5,3385.492973,5,2,90,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5004,1,18020,Ln5,3385.492973,5,3,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
5005,0,5011,BLd5g,865.5269351,5,1,20,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5005,0,5011,BLd5g,865.5269351,5,2,50,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5005,0,5011,BLd5g,865.5269351,5,3,80,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5005,0,5011,BLd5g,865.5269351,5,4,110,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5005,0,5011,BLd5g,865.5269351,5,5,120,23,O05,0.01,0.3367005,0.03030449,2.88750186,17.41850374,0.07360004
5005,1,5010,BLd5,1647.801851,5,1,20,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5005,1,5010,BLd5,1647.801851,5,2,50,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5005,1,5010,BLd5,1647.801851,5,3,80,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5005,1,5010,BLd5,1647.801851,5,4,120,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5006,1,9020,EL5,212.3649756,5,1,25,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5006,1,9020,EL5,212.3649756,5,2,60,13,B13,0.01,0.41608364,0.00836212,1.43702415,29.83240784,-1.35691308
5006,1,9020,EL5,212.3649756,5,3,120,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
5007,0,5020,BLd6,10760.83837,5,1,25,14,B14,0.01,0.41677442,0.00541049,1.30152771,0.89502313,-0.33492567
5007,0,5020,BLd6,10760.83837,5,2,40,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5020,BLd6,10760.83837,5,3,60,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5020,BLd6,10760.83837,5,4,90,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5020,BLd6,10760.83837,5,5,120,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5030,BLb6,10405.30799,5,1,20,14,B14,0.01,0.41677442,0.00541049,1.30152771,0.89502313,-0.33492567
5007,0,5030,BLb6,10405.30799,5,2,40,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5030,BLb6,10405.30799,5,3,90,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,5030,BLb6,10405.30799,5,4,120,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,18040,Ld6,2164.334673,5,1,25,14,B14,0.01,0.41677442,0.00541049,1.30152771,0.89502313,-0.33492567
5007,0,18040,Ld6,2164.334673,5,2,60,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,18040,Ld6,2164.334673,5,3,120,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,18041,Ld6g,782.0510562,5,1,25,14,B14,0.01,0.41677442,0.00541049,1.30152771,0.89502313,-0.33492567
5007,0,18041,Ld6g,782.0510562,5,2,60,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,18041,Ld6g,782.0510562,5,3,90,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,0,18041,Ld6g,782.0510562,5,4,120,23,O05,0.01,0.3367005,0.03030449,2.88750186,17.41850374,0.07360004
5007,1,18050,Ldh6,13151.40069,5,1,25,14,B14,0.01,0.41677442,0.00541049,1.30152771,0.89502313,-0.33492567
5007,1,18050,Ldh6,13151.40069,5,2,60,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
5007,1,18050,Ldh6,13151.40069,5,3,120,33,O15,0.01,0.41005808,0.00775624,1.28734271,2.79125069,0.0001
