* Project:       zegveld
* File content:  specified output data of SWAP
* File name:     .\result_output.csv
* Model version: Swap 4.2.0
* Generated at:  2024-08-01 16:00:34
* (d),(cm),(cm),(kg/ha),(kg/ha),(kg/ha),(kg/ha)
DATETIME,TREDDRY,TREDWET,PGRASSDM,GRASSDM,PMOWDM,MOWDM
1993-09-12,0.,.05230,845.04360,1610.61440,1.63393E+04,1.03989E+04
1993-09-13,0.,0.,848.61615,1610.61440,1.63393E+04,1.03989E+04
1993-09-14,0.,.00591,867.65815,1610.61440,1.63393E+04,1.03989E+04
1993-09-15,0.,.06173,919.50843,1610.61440,1.63393E+04,1.03989E+04
1993-09-16,0.,0.,933.02787,1610.61440,1.63393E+04,1.03989E+04
1993-09-17,0.,.01056,959.36534,1613.24254,1.63393E+04,1.03989E+04
1993-09-18,0.,.03908,1026.01427,1645.79797,1.63393E+04,1.03989E+04
1993-09-19,0.,.02844,1097.47353,1690.94087,1.63393E+04,1.03989E+04
1993-09-20,0.,.01652,1164.73039,1739.41479,1.63393E+04,1.03989E+04
1993-09-21,0.,.00620,1225.36440,1787.90290,1.63393E+04,1.03989E+04
1993-09-22,0.,.00044,1254.18494,1812.16104,1.63393E+04,1.03989E+04
1993-09-23,0.,.00431,1304.75873,1852.60065,1.63393E+04,1.03989E+04
1993-09-24,0.,.00277,1369.42713,1905.61613,1.63393E+04,1.03989E+04
1993-09-25,0.,.00163,1375.33900,1905.61613,1.63393E+04,1.03989E+04
1993-09-26,0.,.02504,1419.20758,1905.61613,1.63393E+04,1.03989E+04
1993-09-27,0.,1.01000E-10,1436.89166,1905.61613,1.63393E+04,1.03989E+04
1993-09-28,0.,.02447,1467.10889,1905.61613,1.63393E+04,1.03989E+04
1993-09-29,0.,.03696,1544.22151,1929.28997,1.63393E+04,1.03989E+04
1993-09-30,0.,.01711,1591.60772,1950.18978,1.63393E+04,1.03989E+04
1993-10-01,0.,.03763,1624.04848,1950.18978,1.63393E+04,1.03989E+04
1993-10-02,0.,.03812,1692.22713,1965.92780,1.63393E+04,1.03989E+04
1993-10-03,0.,0.,1703.53563,1965.92780,1.63393E+04,1.03989E+04
1993-10-04,0.,.04565,1753.31886,700.00000,1.63393E+04,1.16648E+04
1993-10-05,0.,.00864,1811.32406,700.00000,1.63393E+04,1.16648E+04
1993-10-06,0.,.01009,1885.10469,729.00663,1.63393E+04,1.16648E+04
1993-10-07,0.,.01739,1948.32549,749.14391,1.63393E+04,1.16648E+04
1993-10-08,0.,.00833,2014.49014,773.74197,1.63393E+04,1.16648E+04
1993-10-09,0.,.00751,2075.34899,798.15059,1.63393E+04,1.16648E+04
1993-10-10,0.,.00316,2142.40763,829.01824,1.63393E+04,1.16648E+04
1993-10-11,0.,.00394,2201.40138,855.49559,1.63393E+04,1.16648E+04
1993-10-12,0.,.02377,2230.64245,855.49559,1.63393E+04,1.16648E+04
1993-10-13,0.,.02209,2281.11156,862.48035,1.63393E+04,1.16648E+04
1993-10-14,0.,0.,2294.21285,862.48035,1.63393E+04,1.16648E+04
1993-10-15,0.,.01851,2358.60014,862.86376,1.63393E+04,1.16648E+04
1993-10-16,0.,.00828,2414.02848,871.66566,1.63393E+04,1.16648E+04
1993-10-17,0.,.01394,2486.56630,891.32297,1.63393E+04,1.16648E+04
1993-10-18,0.,.01057,2553.32667,913.88776,1.63393E+04,1.16648E+04
1993-10-19,0.,.00286,2583.12655,925.88583,1.63393E+04,1.16648E+04
1993-10-20,0.,.00271,2583.12655,925.88583,1.63393E+04,1.16648E+04
1993-10-21,0.,.00045,2583.12655,925.88583,1.63393E+04,1.16648E+04
1993-10-22,0.,.01997,700.00000,925.88583,1.82224E+04,1.16648E+04
1993-10-23,0.,.01510,700.00000,926.57078,1.82224E+04,1.16648E+04
1993-10-24,0.,.01049,714.55919,935.54071,1.82224E+04,1.16648E+04
1993-10-25,0.,.00542,722.71077,940.56752,1.82224E+04,1.16648E+04
1993-10-26,0.,.00424,738.63722,950.31184,1.82224E+04,1.16648E+04
1993-10-27,0.,.00208,756.64912,961.15530,1.82224E+04,1.16648E+04
1993-10-28,0.,.00568,784.43409,977.97377,1.82224E+04,1.16648E+04
1993-10-29,0.,.00336,817.36451,1000.29337,1.82224E+04,1.16648E+04
1993-10-30,0.,.00251,846.43392,1020.27744,1.82224E+04,1.16648E+04
1993-10-31,0.,4.80978E-05,853.01882,1025.75275,1.82224E+04,1.16648E+04
1993-11-01,0.,4.53224E-05,854.65357,1027.48142,1.82224E+04,1.16648E+04
1993-11-02,0.,.00034,863.15812,1034.36900,1.82224E+04,1.16648E+04
1993-11-03,0.,.00054,873.66429,1042.99282,1.82224E+04,1.16648E+04
1993-11-04,0.,.00269,888.41527,1053.41773,1.82224E+04,1.16648E+04
1993-11-05,0.,.00104,905.64806,1066.68222,1.82224E+04,1.16648E+04
1993-11-06,0.,.00032,909.15707,1069.86263,1.82224E+04,1.16648E+04
1993-11-07,0.,0.,911.77674,1071.93684,1.82224E+04,1.16648E+04
1993-11-08,0.,.00015,917.58411,1075.92483,1.82224E+04,1.16648E+04
1993-11-09,0.,.00234,934.51232,1087.26536,1.82224E+04,1.16648E+04
1993-11-10,0.,0.,935.60382,1087.26536,1.82224E+04,1.16648E+04
1993-11-11,0.,.01262,960.31052,1087.26536,1.82224E+04,1.16648E+04
1993-11-12,0.,.00995,990.51752,1094.36656,1.82224E+04,1.16648E+04
1993-11-13,0.,.00582,1005.57900,1095.19844,1.82224E+04,1.16648E+04
1993-11-14,0.,7.36506E-05,1005.57900,1095.19844,1.82224E+04,1.16648E+04
1993-11-15,0.,.00576,1022.13856,1095.19844,1.82224E+04,1.16648E+04
1993-11-16,0.,.00545,1041.68008,1098.86577,1.82224E+04,1.16648E+04
1993-11-17,0.,.00703,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-18,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-19,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-20,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-21,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-22,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-23,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-24,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-25,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-26,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-27,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-28,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-29,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-11-30,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-12-01,0.,0.,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-12-02,0.,.00017,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-12-03,0.,.00086,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-12-04,0.,.00098,1054.39508,700.00000,1.82224E+04,1.20637E+04
1993-12-05,0.,.00021,700.00000,700.00000,1.85768E+04,1.20637E+04
1993-12-06,0.,.00015,700.00000,700.00000,1.85768E+04,1.20637E+04
1993-12-07,0.,.00031,700.00000,700.00000,1.85768E+04,1.20637E+04
1993-12-08,0.,.01272,701.54748,700.00000,1.85768E+04,1.20637E+04
1993-12-09,0.,.03436,702.35122,700.00000,1.85768E+04,1.20637E+04
1993-12-10,0.,.00601,703.35965,700.00000,1.85768E+04,1.20637E+04
1993-12-11,0.,.00465,717.94899,702.43172,1.85768E+04,1.20637E+04
1993-12-12,0.,1.00598E-10,727.43782,702.43172,1.85768E+04,1.20637E+04
1993-12-13,0.,.00275,729.72083,702.43172,1.85768E+04,1.20637E+04
1993-12-14,0.,.00479,735.04826,702.56349,1.85768E+04,1.20637E+04
1993-12-15,0.,.00011,735.04826,702.56349,1.85768E+04,1.20637E+04
1993-12-16,0.,.00024,735.04826,702.56349,1.85768E+04,1.20637E+04
1993-12-17,0.,.00600,739.01665,702.56349,1.85768E+04,1.20637E+04
1993-12-18,0.,.00131,739.01665,702.56349,1.85768E+04,1.20637E+04
1993-12-19,0.,.00061,739.01665,702.56349,1.85768E+04,1.20637E+04
